file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/player/playqueue/AbstractInfoPlayQueue.java,org.schabi.newpipe.player.playqueue.AbstractInfoPlayQueue$Anonymous2,anonymous,4,4,0,4,8,1,0,15,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,1,0,1,1,0,5,0,0,1,0,0,0,33,-1,0
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/player/playqueue/AbstractInfoPlayQueue.java,org.schabi.newpipe.player.playqueue.AbstractInfoPlayQueue$Anonymous1,anonymous,3,3,0,3,8,1,0,15,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,0,1,1,0,6,0,0,1,0,0,0,33,-1,0
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/local/holder/PlaylistItemHolder.java,org.schabi.newpipe.local.holder.PlaylistItemHolder,class,7,9,2,7,5,3,2,7,3,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,4,0,3,0,0,1,4,0,0,32,1,0,2,0,0,0,0,4,0,6,2,0,0,2,29,1025,0
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/settings/DebugSettingsFragment.java,org.schabi.newpipe.settings.DebugSettingsFragment,class,7,9,2,7,4,3,0,20,1,0.5,NaN,NaN,2,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,3,58,6,0,0,1,0,1,0,9,0,14,2,0,1,5,69,1,0
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/util/ThemeHelper.java,org.schabi.newpipe.util.ThemeHelper,class,15,43,28,15,54,1,0,31,231,0.0,0.0,0.0,22,21,19,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,18,204,27,0,6,1,2,7,8,46,4,34,3,0,0,0,194,17,0
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/local/subscription/SubscriptionsImportFragment.java,org.schabi.newpipe.local.subscription.SubscriptionsImportFragment,class,25,27,2,25,26,3,0,44,42,0.8076923,0.0,0.0,13,1,6,5,2,0,8,0,0,0,8,0,0,7,0,1,1,0,5,110,3,0,8,1,0,3,2,17,0,14,2,0,0,1,79,1,0
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/local/holder/LocalStatisticStreamGridItemHolder.java,org.schabi.newpipe.local.holder.LocalStatisticStreamGridItemHolder,class,3,4,1,3,1,4,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/us/shandian/giga/get/DownloadMissionRecover.java,us.shandian.giga.get.DownloadMissionRecover,class,10,12,2,10,68,2,0,53,1,0.68749994,0.0,0.0,10,0,2,7,0,1,3,0,0,0,8,2,0,7,0,1,5,0,4,220,21,5,21,8,0,9,25,42,5,21,3,0,0,0,86,1,0
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/player/mediasource/FailedMediaSource.java,org.schabi.newpipe.player.mediasource.FailedMediaSource$MediaSourceResolutionException,innerclass,1,1,0,1,1,4,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25,0
/tmp/ck-analysis/TeamNewPipe_NewPipe/app/src/main/java/org/schabi/newpipe/player/playback/PlaybackListener.java,org.schabi.newpipe.player.playback.PlaybackListener,interface,5,7,2,5,7,1,0,0,21,0.0,0.0,0.0,7,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,1,0
