file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/tmp/ck-analysis/halo-dev_halo/application/src/main/java/run/halo/app/theme/endpoint/ThemeEndpoint.java,run.halo.app.theme.endpoint.ThemeEndpoint$IUpgradeRequest,getFile/0,false,408,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,false
/tmp/ck-analysis/halo-dev_halo/application/src/test/java/run/halo/app/core/endpoint/theme/CommentFinderEndpointTest.java,run.halo.app.core.endpoint.theme.CommentFinderEndpointTest,getComment/0,false,109,1,0,0,0,1,12,5,0,0,0,12,0,0,0,0,0,0,2,1,0,0,0,0,0,0,9,0,0,false
/tmp/ck-analysis/halo-dev_halo/application/src/test/java/run/halo/app/core/endpoint/theme/CommentFinderEndpointTest.java,run.halo.app.core.endpoint.theme.CommentFinderEndpointTest,listComments/0,false,80,5,2,0,2,1,29,13,0,4,0,29,0,0,0,0,0,0,11,6,3,0,0,0,0,1,13,0,0,false
/tmp/ck-analysis/halo-dev_halo/application/src/test/java/run/halo/app/core/endpoint/theme/CommentFinderEndpointTest.java,run.halo.app.core.endpoint.theme.CommentFinderEndpointTest,createReply/0,false,178,4,0,0,0,1,30,16,0,3,0,30,0,0,0,0,0,0,11,1,3,0,0,0,0,0,23,0,0,false
/tmp/ck-analysis/halo-dev_halo/application/src/test/java/run/halo/app/core/endpoint/theme/CommentFinderEndpointTest.java,run.halo.app.core.endpoint.theme.CommentFinderEndpointTest,setUp/0,false,72,1,0,0,0,1,8,4,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,false
/tmp/ck-analysis/halo-dev_halo/application/src/test/java/run/halo/app/core/endpoint/theme/CommentFinderEndpointTest.java,run.halo.app.core.endpoint.theme.CommentFinderEndpointTest,listCommentReplies/0,false,123,2,1,0,1,1,18,5,0,1,0,18,0,0,0,0,0,0,4,8,0,0,0,0,0,1,12,0,0,false
/tmp/ck-analysis/halo-dev_halo/application/src/test/java/run/halo/app/core/endpoint/theme/CommentFinderEndpointTest.java,run.halo.app.core.endpoint.theme.CommentFinderEndpointTest,createComment/0,false,140,7,1,0,1,1,40,23,0,6,0,40,0,0,0,0,0,0,9,4,6,1,0,0,0,0,23,0,0,false
/tmp/ck-analysis/halo-dev_halo/application/src/main/java/run/halo/app/theme/finders/impl/PluginFinderImpl.java,run.halo.app.theme.finders.impl.PluginFinderImpl,available/1[java.lang.String],false,24,1,1,1,0,3,4,10,3,1,1,4,0,0,0,1,0,0,0,0,1,0,1,0,0,0,7,1,0,false
/tmp/ck-analysis/halo-dev_halo/application/src/main/java/run/halo/app/theme/finders/impl/PluginFinderImpl.java,run.halo.app.theme.finders.impl.PluginFinderImpl,"available/2[java.lang.String,java.lang.String]",false,36,1,1,0,1,2,7,9,2,2,2,7,1,1,0,0,0,0,1,0,2,0,1,0,0,0,12,1,0,false
/tmp/ck-analysis/halo-dev_halo/application/src/main/java/run/halo/app/search/SearchEngineUnavailableException.java,run.halo.app.search.SearchEngineUnavailableException,SearchEngineUnavailableException/0,true,12,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,false
